Cislo Obce,Nazev Obce,Pocet Volicu,Pocet Obalek,Pocet Validnich Obalek,ANO 2011,Blok proti islam.-Obran.domova,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Dělnic.str.sociální spravedl.,Komunistická str.Čech a Moravy,Křesť.demokr.unie-Čs.str.lid.,Občanská demokratická aliance,Občanská demokratická strana,REALISTÉ,"ROZUMNÍ-stop migraci,diktát.EU",Radostné Česko,Referendum o Evropské unii,SPORTOVCI,SPR-Republ.str.Čsl. M.Sládka,STAROSTOVÉ A NEZÁVISLÍ,Strana Práv Občanů,Strana svobodných občanů,Strana zelených,Svob.a př.dem.-T.Okamura (SPD),TOP 09,Česká pirátská strana,Česká str.sociálně demokrat.,Česká strana národně sociální,Řád národa - Vlastenecká unie
546194,Bačkov,100,64,64,26,0,0,0,8,2,0,6,3,0,0,0,0,1,3,0,2,2,6,0,0,5,0,0
548260,Bartoušov,127,84,83,18,0,0,0,13,9,0,11,0,0,0,0,0,0,0,0,2,0,13,1,4,12,0,0
573566,Bělá,200,158,158,51,0,0,0,38,1,0,8,0,2,0,1,1,0,11,0,1,2,19,1,9,13,0,0
548430,Bezděkov,198,146,145,46,1,0,3,15,4,0,22,0,2,0,1,0,0,4,0,0,0,9,5,14,19,0,0
568457,Bojiště,224,134,134,49,0,0,1,4,11,0,25,0,2,0,0,0,0,6,0,4,1,11,4,8,7,1,0
573558,Boňkov,64,36,35,6,0,0,0,4,3,0,2,0,0,0,0,0,0,2,0,1,1,3,0,7,6,0,0
568465,Borek,108,63,63,28,0,0,0,7,3,0,3,0,0,0,0,0,0,2,0,0,0,6,0,9,5,0,0
548278,Břevnice,130,90,90,23,0,0,3,12,7,0,11,1,0,0,1,0,0,4,0,1,5,9,2,7,4,0,0
568490,Čachotín,153,104,103,39,0,0,0,8,16,0,4,0,2,0,0,0,0,0,2,0,0,13,5,9,5,0,0
548375,Čečkovice,64,55,55,15,0,0,0,7,3,0,10,0,0,1,0,1,0,0,0,0,0,2,0,3,12,0,1
568503,Česká Bělá,810,524,523,157,0,0,2,46,39,1,60,12,3,1,0,1,2,23,0,8,7,37,11,65,48,0,0
568520,Číhošť,283,195,195,56,0,0,2,27,13,0,13,0,0,0,0,0,0,9,0,1,3,27,7,17,20,0,0
568538,Dlouhá Ves,322,204,204,58,0,0,1,31,9,0,24,0,4,0,0,3,0,11,2,1,4,21,2,20,13,0,0
568597,Dolní Krupá,328,180,179,61,0,1,0,12,16,0,14,3,2,0,0,1,0,3,2,4,1,15,7,17,20,0,0
568601,Dolní Město,764,531,530,164,0,0,1,87,40,1,37,5,5,0,0,1,0,21,1,7,7,30,16,52,55,0,0
